ID,label,description,,
2889821475,5,We provide corporate wellness programs and individualized in person/online fitness/nutrition coaching.,,
286351692,2,Hija. Amiga. Doctora. MamÃ¡ de Isabella & Annaâ™¡ Amante de la comida!,,
1613188824,2,32 Dental Travel is a comprehensive dental tourism company that works only with American accredited facilities & doctors providing an average of a 75% discount.,,
1676166775,2,Doctor by proffesion belonging to. political background fron anantnag,,
469510403,5,Nancy Lum is a clinical Dietitian specializing in GI & Bariatric nutrition. http://t.co/13Ke6Xty .  http://t.co/WOgh4Bzu. #GIBNC #WLS #nutrition #Dietitian,,
244593529,5,Nutricula â€œThe Science Of Longevity Journalâ€ is dedicated to provide free information to millions of readers across the globe,,
64072142,4,#GlobalCitizenðŸŒLead of #OUTBREAK @UCLGlobCitProg |Founder @UCLFightsFakes |@ucl Global Engagement Lead | @CW_Pharmacists Board Trustee & Global Health Advisor,,
754238838,1,Thought leader .  Attorney .  Registered Nurse .  health care compliance and health law enthusiast,,
1.00E+18,2,Buddhist~Leftist~Feminist~Politics~ Comics~DoctorWho~Cooking~Downsizing my life~Alternative transportation advocate  . #FightFascism #FuckTrump,,
1120903495,2,doctor by profession!   a simple common man!!,,
1.12E+18,5,OD âžª MD || chronic (well)ness || ðŸŒ¿ lifestyle + nutrition || ðŸ”¬formalized curiosity,,
213563808,2,Postdoctoral Fellow: .  . California Institute for Biomedical Research .  . BSc .  PhD : University of Toronto .  .  . Cancer Bio .  Cell and Molecular Bio .  Glycosylation . ,,
84732153,2,Modern Medicine .  Old Fashioned Care.  Family Doctors practicing in Novi .  MI.,,
17289566,2,new doctor .  exploring the world .  learning how to incorporate technology into our everyday lives for the better!,,
1238141478,4,pharmacist .  structural biologist,,
480573341,2,"A human. Being, Doctor by profession",,
3180663480,2,Dr. Blaudeau is a doctor and lawyer. He founded Southern Med Law to provide legal representation to the victims of negligent acts and dangerous products.,,
888697404,7,lic .  Oscar Garcia  .  Bombero Del Distrito Capital  .   Sargento Primero (B).(Docente .  Instructor TÃ¡ctico Operacional .  Paramedico y Desatrologo ). UPEL-UNES-IUTB.,,
1169849748,2,Preparing future Doctors of Optometry and healthcare leaders in a state of the art facilty. Our students .  faculty .  staff and andministrators are family here at,,
3084795471,8,Vincenzo âš“ï¸~ Med Student ~ Naples. â˜€ï¸ Follow your bliss and the universe will open doors for you where there were only walls.[J.Campbell],,
33103514,5,dietitian .  clinical translational research and clinical nutrition management,,
139576808,5,Nutriologa,,
1.25E+18,2,ðŸ‘©ðŸ»â€âš•ï¸MD-PhD Student .  Hacettepe University -ðŸ‘©ðŸ»â€ðŸ”¬Predoctoral Research Fellow .  NYU Langone Health,,
329107892,1,i'm nurse working at goverment hospital.,,
109492100,1,I'm Venezuelan .  Colombian .  and live in Houston where I am a Nurse! Love my family .  my friends .  and God who makes everything possible. THINK POSITIVE!,,
770060366,5,MÃ©decin-vÃ©tÃ©rinaire .  MSc (GÃ©nie BiomÃ©dical) .  intÃ©rÃªt pour mÃ©decine gÃ©nique et nutrigÃ©nomique. Mon but: vaincre le cancer et ses causes par mon action/assistance,,
279334446,2,Book.Confirm.Go! Doctor and Dentist Appointments Online.,,
726843745,5,The Nutritional Therapy Community is an online membership organisation for Nutritional Practitioners to share resources and enhance their clinical skills,,
2648300766,8,23 - microbiologist - med student to be #classof2021 â˜¤,,
2955664084,1,Psychiatric-Mental Health Nurse Practitioner â€¢ Institute of Functional Medicine Certified Practitioner Candidate,,
242367064,4,Pharmacist,,
2841594299,2,A high-quality health specific search engine curated by a doctor to provide the general public with actionable insights regarding health and disease.,,
16202353,6,Fan of Technology's Complexity. Technologist and writer following intersections of communications .  tech .  culture .  economics .  media .  policy and politics.,,
1276228969,5,Exercise Fitness Nutrition Specialist and author of The High-Five Diet,,
93251201,4,Director #US #Healthcare #Standards #Accreditation #Residency #Policy #Compliance #CME #CE #MedEd #Edu #EdTech #Scientific #Reseach #Advocacy 4 #Pharmacists #Dr,,
1.22E+18,2,Norton Medical Co. is a medical business founded by Dr. John F Norton Jr  . M.D. who's a primary care physician and Federal Medical Doctor . Clinical Researcher.,,
138568465,5,IIN Trained Holistic and Nutrition Coach,,
53122847,2,Medical Director and Founder .  Doctors for Humankind Foundation: Street Medicine .  Health Promotion .  Climate Change .  Child Protection .  SDGs .  Disaster Relief.,,
1485351199,5,Does the word diet just make u cringe? .  . Wat if I told u I can change ur perception of this so call swear word Focussing on health & nutrition is the key!,,
361802879,2,Medical doctor preparing for usmle steps .  trance lover  .  interested in research in medical field.,,
4138117157,1,Nurse Scientist; Thelma & Joe Crow Endowed Professor;  Vice Dean for Faculty Excellence .  UTHSCSA .  Co-Editor; Advances in Neonatal Care,,
4818285996,5,Herbal Medicine | Nutrition | Naturopathy,,
1624654207,1,Registered Nurse - Lactation Consultant https://t.co/LkaRA9MLts,,
2896864321,2,Revolutionary Cold Sore Prevention - No side Effects .  No Visits To The Doctor. Talking about cold sores .  healthy lifestyles & medical news. #coldsore #remedy,,
348221237,2,Specializing in home medical equipment .  supplies. Providing products for patients . doctors . hospitals . medical schools & government agencies http://t.co/VNxGlhlicj,,
757364850,5,ðŸ¥¥Dietista-nutricionista. NutriciÃ³n deportiva .  rendimiento y salud. . Antropometrista Isak II  ||#YosoyDSP|| .  . El Ã©xito es la consecuencia .  no el objetivo.,,
219715511,7,Private #NHS #hospital #furniture and #bed Design concept for UK #Ambulance #healthcare and #paramedic professionals looking for quality .  style on a #budget.,,
68252461,1,Nurses ROCK! Ideas are my own.,,
7.19E+17,2,Ugandan medical doctor .  realist .  utilitarian .  Christian .  liberal minded. Has a keen interest in molecular genetics.,,
2568810662,5,Clinical Nutritionist | Assist. Prof. | Public speaker | CEO at Institute for Nutritional Programming | Space Nutrition,,
368484688,6,Hi .  I'm a Medical Laboratory Technologist at Ministry of Health in Sri Lanka.,,
747226256,4,The monthly pharmacist care magazine of the American Pharmacists Association.,,
231474945,2,Indian. Doctor. In love with CosmosðŸ’• Space Geek. MSDian. Elon'ed.,,
159995028,2,Doctor .  Psychiatrist .  Muslim .  Cuban-American.,,
2325971574,5,Nutritionist and University Biochemistry . Childhood obesity . metabolic and bariatric nutrition.NO DIET.Reeducation  .  let's learn to eat !,,
15885989,2,doctor .  singer .  lifelong student .  seeker,,
566381726,5,In my journey to lose weight loss .  I discovered a love for health .  nutrition & balance. .  . For non-toxic household & personal products: .  . http://t.co/ycJWSfpcJN,,
517010325,1,Nurse Practitioner #UCSF Alum. Interested in peds obesity #healthpolicy & #healthequity. Improve your community.,,
620440862,1,Oncology Nurse Navigator Caldwell Breast Center. Visiting Clinical Professor Chamberlain University. MSN . RN . OCN . BMTCN,,
264573591,2,thai military doctor since1978 .  . interested in casualty med&geriatrics,,
906819918,1,Helping in the revolution of health care one job .  article .  nurse .  at a time.,,
3175808957,1,A nurse ðŸ‘¨â€âš•ï¸  . A fashion entrepreneur  . A health advocate,,
251736619,4,Pharmacist,,
1.03E+18,1,Nurse . FantaAllenatore,,
92759850,1,Artist .  Volunteer .  MH Nurse #CAMHS #NHS #coproduction #YoungMinds,,
548807159,2,Doctor Of Pharmacy,,
2513246132,8,#Medical student blogging about #health and #wellness in #simple language. Love #skin .  #womenshealth .  #prevention .  #healthylifestyle,,
7.30E+17,4,âœ¨ . PharmacistðŸ’Š . âœ¨,,
34085409,2,Providing comprehensive digital signage solutions at the point of care to enhance the patient experience and help doctors grow their practices from within.,,
512582799,2,Katy Howard is a Naturopathic Doctor and writer passionate about preventative medicine and natural healthcare.,,
194662169,4,Donâ€™t settle for good enough | Pharmacist,,
4026974235,2,M.B .CH .B .doctor,,
257398673,1,Healthy Mom&Baby magazine is expert advice from mother/baby nurses for conception .  pregnancy .  birth .  and parenting. http://t.co/IpQ4hvjxrZ.,,
1320351679,6,PoC Ultrasound .  Director Clinical Insights & Development .  GEHC .  Sonographer .  Native Wildflower Enthusiast .  #FOAMed .  #POCUS,,
29314552,5,Health fitness environment nutrition ecology nature - they all work together! The best news and views just for you.,,
4429089554,5,PhD .  interested in role of #AI in #food #nutrition #healthcare and #environment,,
354313246,8,a medical student :),,
344161189,2,Viteyes provides high quality AREDS 2 based vitamins and other eye health supplements at an affordable price. Top recommended by hundreds of doctors.,,
2751085818,2,#MDNews is the premier local market .  business & practice management publication for #doctors #physicians in the Tennessee Valley. Powered by @TrueNorthCustom,,
444088115,4,#vegan #pharmacist Obsessed with #volleyball #tennis #reading #italy and #travel. #thewalkingdead superfan. #veganfoodierva on IG #RVA,,
982659696,5,Evidence-based nutrition in human terms. One new article each day.,,
20218563,1,Nurse .  Mom .  Christian .  Child Advocate .  Animal Advocate (not necessarily in that order),,
187796892,1,advanced practice nurse .  longhorn .  music lover .  Houstonian .  dog lover.,,
1236882810,8,Providing courses for Medical Students and s of all grades.  . Director- Mr Samer Saour MB BCh BAO MRCS FRCS(Plast),,
228240119,1,Nurse oncology RD,,
381804453,1,Duke Nurse Anesthesia Program Tweets of Interest.  Our goal is to be informed and to inform,,
159408592,5,Currently attending Arizona State University .  Nutrition major with plans to become a registered dietitian,,
40123603,5,Good nutrition .  fitness and wellness center me .  and Iâ€™m all about sharing | Mom | Growing @byanymeansfit | | Tweet about all of the above,,
195697361,1,Hello everybody! This is Lucy Almond here. I am a nurse and working in a private clinic but having a deep thirst for knowledge.,,
1061436145,1,2nd year mental health nurse @ lincoln university,,
1688781529,5,Dietista-Nutricionista.,,
2186927462,1,Nurse Scientist .  behavior change .  implementation science .  global health. Opinions are my own.,,
113130513,2,doctors & patients working together for freedom in medicine,,
577302617,4,Pharmacist by Profession .  Poetess by Heart,,
415897859,5,I post health and nutrition information. I also post news updates and quotes.,,
